id;date;category;type;montant;description
1;2021-04-25;Architecte;secured architectures;80346;c
2;2021-04-25;Granite;fault-tolerant compress Provence-Alpes-Côte;2614;a capability
3;2021-04-26;Unbranded;Soap virtual Provence;69014;navigate Rubber Cotton
4;2021-04-25;24/365 Fantastic;b impactful;76716;Picardie
5;2021-04-25;up;Granite Checking synthesize;49316;utilisation platforms Royaume-Uni
6;2021-04-26;Jewelery brand;b HDD;44354;visualize Analyste communities
7;2021-04-25;background Tuna ADP;Midi-Pyrénées matrix collaborative;24234;1080p Incredible Limousin
8;2021-04-26;Berkshire Visionary SMS;robust;59147;Towels a navigating
9;2021-04-25;microchip neural logistical;payment superstructure;4194;a robust
10;2021-04-26;Loan Bosnie-Herzégovine;Salad;93815;Electronics
