id;type_de_carburant;date;km;nb_litre;montant;vehicule_id
1;networks green;2021-04-25;49250;42796;46730;1
2;Avon Concrete;2021-04-25;37474;25547;28864;2
3;Frozen copy invoice;2021-04-25;42858;36277;18557;3
4;a bluetooth Zimbabwe;2021-04-26;71893;58070;1241;4
5;Ingenieur non-volatile;2021-04-25;94122;61161;86485;5
6;Nord-Pas-de-Calais;2021-04-26;45005;7780;82236;6
7;Borders;2021-04-26;44206;54815;84395;7
8;Licensed Savings Concrete;2021-04-25;44224;4882;35485;8
9;Czech Dollar;2021-04-26;65771;59410;77595;9
10;a;2021-04-26;29973;94236;35676;10
