id;gravite;chauffeur;responsableincident;reporteurincident
1;hacking;Auvergne;Rubber bypassing Denar;bandwidth
2;Languedoc-Roussillon Érythrée application;Public-key;invoice Gourde AGP;Côte Ball compress
3;navigating real-time;Intelligent du green;bleeding-edge;innovate
4;Assistant Salad Sleek;Focused Bacon IB;bluetooth invoice a;Reactive
5;Bedfordshire Dollar;Virtual;Cloned Versatile c;Towels Investment
6;a Card;monitor Baby Checking;Reverse-engineered c;Berkshire context-sensitive synthesize
7;c engine vortals;Cross-group Steel;neutral firewall hacking;withdrawal
8;bypass cyan software;strategic Small;Reduced Berkshire;Avon paradigms
9;Franc;de input;leverage;portal firmware Borders
10;c;EXE architectures deliverables;motivating quantifying;Producteur Consultant
