id;nom;code;indicatif;capitale;currency
1;Outdoors Delesseux;technologies navigate Metal;monitoring Concrete;global connecting Presbourg;transmitter Rubber RSS
2;up Practical;Yemeni Lombards connect;Shirt;end-to-end Re-contextualized Île-de-France;magenta
3;Credit;a Small superstructure;data-warehouse;alarm Soft;Rustic
4;Bretagne;salmon b stable;Rhône-Alpes wireless;calculating;Chips Developpeur multi-byte
5;primary;projection;de transform Handmade;utilize;Cotton Granite Cambridgeshire
6;Concrete orange input;GB;24/7 Frozen;b primary;invoice fuchsia c
7;intuitive Niger;calculating Avon;Consultant;copy Proactive Architecte;mobile e-business b
8;copy generation Cotton;Frozen Metal;a Kroon Grocery;copying;structure
9;Analyste dynamic;c;Architecte Sausages Music;orchid Rupee Buckinghamshire;Midi-Pyrénées
10;Rivoli;withdrawal Checking XSS;b CSS Sommerard;magenta;Table Stand-alone olive
