id;title;image;image_content_type;uploaded
1;ADP Botswana Directeur;../fake-data/blob/hipster.png;image/png;2021-07-05T04:52:25
2;haptic c;../fake-data/blob/hipster.png;image/png;2021-07-05T11:48:46
3;Ergonomic Liberia Metal;../fake-data/blob/hipster.png;image/png;2021-07-05T01:51:04
4;a orchid;../fake-data/blob/hipster.png;image/png;2021-07-04T19:26:41
5;compress Limousin Tasty;../fake-data/blob/hipster.png;image/png;2021-07-05T00:59:15
6;alarm seize a;../fake-data/blob/hipster.png;image/png;2021-07-05T12:29:42
7;Hat;../fake-data/blob/hipster.png;image/png;2021-07-05T12:42:32
8;Credit c Berkshire;../fake-data/blob/hipster.png;image/png;2021-07-05T09:32:04
9;challenge vertical;../fake-data/blob/hipster.png;image/png;2021-07-04T19:41:03
10;algorithm;../fake-data/blob/hipster.png;image/png;2021-07-05T06:58:35
