id;nom;description;reference;niveau
1;Chicken Cheese b;Rustic;a innovative systemic;viral
2;Polarised neural withdrawal;generating Champagne-Ardenne Basse-Normandie;Assistant;quantifying Quetzal
3;Singapore copy;interface Picardie b;Hat Granite PCI;Chicken
4;benchmark Fresh;models Garden;program;haptic FTP white
5;IB killer;plum;payment Wooden;Intelligent Alsace
6;Berkshire override adapter;b Limousin;Nord-Pas-de-Calais architectures;dynamic Architecte Soap
7;virtual Bedfordshire Suède;schemas;Wooden;payment withdrawal
8;Down-sized Zloty;wireless invoice deposit;Salad Jewelery;bandwidth Account Ergonomic
9;Loan Pologne Buckinghamshire;pixel;blue Designer;Coordinateur directional c
10;Loti back;e-tailers help-desk Midi-Pyrénées;Chicken SSL Administrateur;Automotive analyzer
