id;nom;description;reference;niveau
1;Croatian driver e-services;transmit virtual;Saint-Denis;Auto Gloves backing
2;transmitter Poitou-Charentes;Libye;turquoise;program Garden Steel
3;a Salad;synergies b Dirham;1080p 24/7;Implemented Handcrafted c
4;XSS Shoes;attitude;Universal Versatile grey;Intelligent hour a
5;c Arménie Buckinghamshire;Népal navigate;Awesome zero;Mongolie program Bourgogne
6;deposit;state payment;b Intelligent Technicien;panel implement Account
7;SMS Tools;Mouffetard;Licensed de;cyan Metal proactive
8;Metal maximize;cultivate generating;Mexican c;Agent
9;Croatian;connect a visualize;b Bedfordshire copy;c parsing
10;Industrial plug-and-play;c Handmade;Chicken Namibia Small;Electronics
