id;nom;telephone;responsable;mail;adresse;logo;logo_content_type
1;Account Borders blue;+33 304939158;deliver supply-chains generating;Beauty;Technicien;../fake-data/blob/hipster.png;image/png
2;hacking Soft;+33 158133915;program magnetic;viral;c;../fake-data/blob/hipster.png;image/png
3;c Mouse Towels;+33 458564192;Assistant system 1080p;Cambridgeshire Gibraltar;Ringgit;../fake-data/blob/hipster.png;image/png
4;RAM Administrateur Sleek;0655000187;parse;Shirt cross-platform;Games;../fake-data/blob/hipster.png;image/png
5;c b Soft;0628458186;Plastic Keyboard b;synergy back-end wireless;indexing revolutionize functionalities;../fake-data/blob/hipster.png;image/png
6;methodology scalable red;+33 294435479;compress Pants;Guinée-Bissau Kids Plastic;Market Sausages SDD;../fake-data/blob/hipster.png;image/png
7;Card Soap hierarchy;+33 764109517;granular;platforms Developpeur Pizza;synergies;../fake-data/blob/hipster.png;image/png
8;Liberia Shoes digital;0544150875;Directeur;Keyboard cross-platform Rupiah;bypass Ergonomic;../fake-data/blob/hipster.png;image/png
9;HDD;+33 653906928;enable;gold;orchestrate deposit Salad;../fake-data/blob/hipster.png;image/png
10;green;0709076128;challenge;benchmark;Bourgogne ROI Bénin;../fake-data/blob/hipster.png;image/png
