id;reference;num_chassis;num_carte_grise;nbre_place;marque_voiture;photo;refcartetotal;typemoteur
1;Gorgeous;invoice programming;ROI de;42860;Computers Soap du;Avon;SCSI;transition Liechtenstein
2;Account Mille eyeballs;asynchronous a;b;91309;bleeding-edge de partnerships;Specialiste;protocol real-time;Administrateur deposit Industrial
3;syndicate;digital;sensor La attitude-oriented;80868;generate bypassing;Dollar;COM intermediate b;Basse-Normandie
4;Mouse Dong Robust;Specialiste circuit Rubber;parsing open-source Analyste;5583;monetize;Account;b invoice Car;c Berkshire capability
5;orchestrate Géorgie;FTP Sports;connecting Grocery Charlemagne;38235;middleware Guinée-Bissau orange;back-end Digitized Automotive;Extended Rustic;compress tangible
6;frictionless;multi-byte visualize;a platforms;9927;c;payment;user-facing EXE b;aggregate JBOD Car
7;Franche-Comté b Assistant;Steel;Shoes Pizza;71082;Towels Ouganda violet;Bahamas Consultant payment;Buckinghamshire Cotton overriding;B2B evolve
8;Money;Organic;l'Abbaye;93033;Kids empowering Borders;a 24/7 open-source;Grocery Market;index
9;mobile EXE bypass;Pologne deposit;Frozen;60231;Incredible Cambridgeshire;interfaces;orchestrate;Decentralized SDD
10;deposit Bacon;Table exuding;parse Granite seamless;5323;Montmorency firewall;SCSI b invoice;RSS;intuitive
